Product ID;Obraz;Nazwa;Kategoria;Cena (netto);Cena (brutto);Ilość
1;http://localhost:8080/img/images/ABERFELDY-25YO-125TH-ANNIVERSARY-EDITION-WHISKY-07L-46.jpg;ABERFELDY 25YO 125TH ANNIVERSARY EDITION WHISKY 0,7L 46%;Nowości;3 199,00;3 199,00;28
2;http://localhost:8080/img/images/DĘBOWA-POLSKA-GOLDEN-SOWA-07L-40.jpg;DĘBOWA POLSKA GOLDEN SOWA 0,7L 40%;Nowości;64,99;64,99;22
3;http://localhost:8080/img/images/DĘBOWA-POLSKA-EXCELLENT-GRZYBEK-CAŁKOWITY-07L-40.jpg;DĘBOWA POLSKA EXCELLENT GRZYBEK CAŁKOWITY 0,7L 40%;Nowości;199,00;199,00;13
4;http://localhost:8080/img/images/CZĘSTOCHÓWKA-MALINA-Z-CHILLI-LIKIER-05L-32.jpg;CZĘSTOCHÓWKA MALINA Z CHILLI LIKIER 0,5L 32%;Nowości;56,99;56,99;29
5;http://localhost:8080/img/images/DĘBOWA-POLSKA-EXCELLENT-MACZUGA-07L-40.jpg;DĘBOWA POLSKA EXCELLENT MACZUGA 0,7L 40%;Nowości;229,00;229,00;30
6;http://localhost:8080/img/images/CASAJUANA-RESERVA-XO-BRANDY-07L-40.jpg;CASAJUANA RESERVA XO BRANDY 0,7L 40%;Nowości;199,00;199,00;13
7;http://localhost:8080/img/images/ANNO-DOMINI-DIAMANTE-D.O.C.-BIO-ROSE-PROSECCO-075L-11.jpg;ANNO DOMINI DIAMANTE D.O.C. BIO ROSE PROSECCO 0,75L 11%;Nowości;76,99;76,99;30
8;http://localhost:8080/img/images/ANNO-DOMINI-DIAMANTE-D.O.C.-BIO-EXTRA-DRY-PROSECCO-075L-11.jpg;ANNO DOMINI DIAMANTE D.O.C. BIO EXTRA DRY PROSECCO 0,75L 11%;Nowości;76,99;76,99;27
9;http://localhost:8080/img/images/CIROC-APPLE-VODKA-07L-375.jpg;CIROC APPLE VODKA 0,7L 37,5%;Nowości;169,00;169,00;24
10;http://localhost:8080/img/images/KRAKEN-BLACK-SPICED-ROAST-COFFEE-RUM-07L-40.jpg;KRAKEN BLACK SPICED ROAST COFFEE RUM 0,7L 40%;Nowości;139,00;139,00;19
