Product ID;Obraz;Nazwa;Kategoria;Cena (netto);Cena (brutto);Ilość
1;http://localhost:8080/img/images/ABERFELDY-25YO-125TH-ANNIVERSARY-EDITION-WHISKY-0,7L-46%.jpg;ABERFELDY 25YO 125TH ANNIVERSARY EDITION WHISKY 0,7L 46%;Nowości;3 199,00;3 199,00;27
2;http://localhost:8080/img/images/DĘBOWA-POLSKA-GOLDEN-SOWA-0,7L-40%.jpg;DĘBOWA POLSKA GOLDEN SOWA 0,7L 40%;Nowości;64,99;64,99;19
3;http://localhost:8080/img/images/DĘBOWA-POLSKA-EXCELLENT-GRZYBEK-CAŁKOWITY-0,7L-40%.jpg;DĘBOWA POLSKA EXCELLENT GRZYBEK CAŁKOWITY 0,7L 40%;Nowości;199,00;199,00;11
4;http://localhost:8080/img/images/CZĘSTOCHÓWKA-MALINA-Z-CHILLI-LIKIER-0,5L-32%.jpg;CZĘSTOCHÓWKA MALINA Z CHILLI LIKIER 0,5L 32%;Nowości;56,99;56,99;26
5;http://localhost:8080/img/images/DĘBOWA-POLSKA-EXCELLENT-MACZUGA-0,7L-40%.jpg;DĘBOWA POLSKA EXCELLENT MACZUGA 0,7L 40%;Nowości;229,00;229,00;19
6;http://localhost:8080/img/images/CASAJUANA-RESERVA-XO-BRANDY-0,7L-40%.jpg;CASAJUANA RESERVA XO BRANDY 0,7L 40%;Nowości;199,00;199,00;24
7;http://localhost:8080/img/images/ANNO-DOMINI-DIAMANTE-D.O.C.-BIO-ROSE-PROSECCO-0,75L-11%.jpg;ANNO DOMINI DIAMANTE D.O.C. BIO ROSE PROSECCO 0,75L 11%;Nowości;76,99;76,99;27
8;http://localhost:8080/img/images/ANNO-DOMINI-DIAMANTE-D.O.C.-BIO-EXTRA-DRY-PROSECCO-0,75L-11%.jpg;ANNO DOMINI DIAMANTE D.O.C. BIO EXTRA DRY PROSECCO 0,75L 11%;Nowości;76,99;76,99;25
9;http://localhost:8080/img/images/CIROC-APPLE-VODKA-0,7L-37,5%.jpg;CIROC APPLE VODKA 0,7L 37,5%;Nowości;169,00;169,00;21
10;http://localhost:8080/img/images/KRAKEN-BLACK-SPICED-ROAST-COFFEE-RUM-0,7L-40%.jpg;KRAKEN BLACK SPICED ROAST COFFEE RUM 0,7L 40%;Nowości;139,00;139,00;17
11;http://localhost:8080/img/images/MARIETA-MENCIA-ROSE-0,75L.jpg;MARIETA MENCIA ROSE 0,75L;Nowości;65,99;65,99;26
12;http://localhost:8080/img/images/CANEROCK-JAMAICA-RUM-0,7L-40%.jpg;CANEROCK JAMAICA RUM 0,7L 40%;Nowości;195,00;195,00;19
13;http://localhost:8080/img/images/ANGEL'S-ENVY-PORT-FINISH-BOURBON-0,7L-43,3%.jpg;ANGEL'S ENVY PORT FINISH BOURBON 0,7L 43,3%;Bourbon;325,00;325,00;29
14;http://localhost:8080/img/images/BAKER'S-7YO-BOURBON-0,7L-53,5%.jpg;BAKER'S 7YO BOURBON 0,7L 53,5%;Bourbon;345,00;345,00;27
15;http://localhost:8080/img/images/BASIL-HAYDEN'S-8YO-BOURBON--0,7L-40%.jpg;BASIL HAYDEN'S 8YO BOURBON  0,7L 40%;Bourbon;275,00;275,00;19
16;http://localhost:8080/img/images/BENCHMARK-OLD-NO.8-BRAND-BOURBON-0,7L-40%.jpg;BENCHMARK OLD NO.8 BRAND BOURBON 0,7L 40%;Bourbon;110,00;110,00;15
17;http://localhost:8080/img/images/BUFFALO-TRACE-BOURBON-0,7L-40%.jpg;BUFFALO TRACE BOURBON 0,7L 40%;Bourbon;129,00;129,00;12
18;http://localhost:8080/img/images/BULLEIT-10YO-BOURBON-0,7L-45,6%.jpg;BULLEIT 10YO BOURBON 0,7L 45,6%;Bourbon;185,00;185,00;10
19;http://localhost:8080/img/images/BULLEIT-BOURBON-0,7L-45%.jpg;BULLEIT BOURBON 0,7L 45%;Bourbon;119,00;119,00;20
20;http://localhost:8080/img/images/BULLEIT-RYE-BOURBON-0,7L-45%.jpg;BULLEIT RYE BOURBON 0,7L 45%;Bourbon;145,00;145,00;12
21;http://localhost:8080/img/images/EAGLE-RARE-10YO-SINGLE-BARREL-BOURBON-0,7L-45%.jpg;EAGLE RARE 10YO SINGLE BARREL BOURBON 0,7L 45%;Bourbon;280,00;280,00;12
22;http://localhost:8080/img/images/EVAN-WILLIAMS-4YO-BOURBON-0,7L-50%.jpg;EVAN WILLIAMS 4YO BOURBON 0,7L 50%;Bourbon;130,00;130,00;19
23;http://localhost:8080/img/images/FOUR-ROSES--BOURBON--0,7L-40%.jpg;FOUR ROSES  BOURBON  0,7L 40%;Bourbon;110,00;110,00;11
24;http://localhost:8080/img/images/FOUR-ROSES-SMALL-BATCH-BOURBON-0,7L-45%.jpg;FOUR ROSES SMALL BATCH BOURBON 0,7L 45%;Bourbon;195,00;195,00;22
25;http://localhost:8080/img/images/ABSINTH-MR.-JEKYLL-ABSYNT-0,7L-55%-W-SKRZYNCE-DREWNIANEJ.jpg;ABSINTH MR. JEKYLL ABSYNT 0,7L 55% W SKRZYNCE DREWNIANEJ;Alkohol na prezent;155,00;155,00;27
26;http://localhost:8080/img/images/ABSINTHE-LE-DIABLE-BLEU-ABSYNT-0,7L-80%-W-SKRZYNCE-DREWNIANEJ.jpg;ABSINTHE LE DIABLE BLEU ABSYNT 0,7L 80% W SKRZYNCE DREWNIANEJ;Alkohol na prezent;225,00;225,00;26
27;http://localhost:8080/img/images/ABSOLUT-BLUE-VODKA-0,7L-40%-W-SKRZYNCE-DREWNIANEJ.jpg;ABSOLUT BLUE VODKA 0,7L 40% W SKRZYNCE DREWNIANEJ;Alkohol na prezent;115,00;115,00;12
28;http://localhost:8080/img/images/ABSOLUT-BLUE-VODKA-0,7L-40%-W-SKRZYNCE-DREWNIANEJ-+-6-KIELISZKÓW.jpg;ABSOLUT BLUE VODKA 0,7L 40% W SKRZYNCE DREWNIANEJ + 6 KIELISZKÓW;Alkohol na prezent;165,00;165,00;26
29;http://localhost:8080/img/images/ABSOLUT-BLUE-VODKA-0,7L-40%-W-SKRZYNCE-DREWNIANEJ-+-CZEKOLADKI.jpg;ABSOLUT BLUE VODKA 0,7L 40% W SKRZYNCE DREWNIANEJ + CZEKOLADKI;Alkohol na prezent;145,00;145,00;15
30;http://localhost:8080/img/images/ABSOLUT-LIME-VODKA-0,7L-40%-W-SKRZYNCE-DREWNIANEJ-+-6-KIELISZKÓW.jpg;ABSOLUT LIME VODKA 0,7L 40% W SKRZYNCE DREWNIANEJ + 6 KIELISZKÓW;Alkohol na prezent;180,00;180,00;10
31;http://localhost:8080/img/images/ADAM-MICKIEWICZ-PREMIUM-WÓDKA-0,5L-40%-W-SKRZYNCE-DREWNIANEJ-+-6-KIELISZKÓW.jpg;ADAM MICKIEWICZ PREMIUM WÓDKA 0,5L 40% W SKRZYNCE DREWNIANEJ + 6 KIELISZKÓW;Alkohol na prezent;155,00;155,00;12
32;http://localhost:8080/img/images/AMUNDSEN-VODKA-0,7L-40%-W-SKRZYNCE-DREWNIANEJ-+-6-KIELISZKÓW.jpg;AMUNDSEN VODKA 0,7L 40% W SKRZYNCE DREWNIANEJ + 6 KIELISZKÓW;Alkohol na prezent;170,00;170,00;30
