Product ID;Obraz;Nazwa;Kategoria;Cena (netto);Cena (brutto);Ilość
1;img/images/ABERFELDY-25YO-125TH-ANNIVERSARY-EDITION-WHISKY-07L-46.jpg;ABERFELDY 25YO 125TH ANNIVERSARY EDITION WHISKY 0,7L 46%;Nowości;3 199,00;3 199,00;26
2;img/images/DĘBOWA-POLSKA-GOLDEN-SOWA-07L-40.jpg;DĘBOWA POLSKA GOLDEN SOWA 0,7L 40%;Nowości;64,99;64,99;26
3;img/images/DĘBOWA-POLSKA-EXCELLENT-GRZYBEK-CAŁKOWITY-07L-40.jpg;DĘBOWA POLSKA EXCELLENT GRZYBEK CAŁKOWITY 0,7L 40%;Nowości;199,00;199,00;14
4;img/images/CZĘSTOCHÓWKA-MALINA-Z-CHILLI-LIKIER-05L-32.jpg;CZĘSTOCHÓWKA MALINA Z CHILLI LIKIER 0,5L 32%;Nowości;56,99;56,99;13
5;img/images/DĘBOWA-POLSKA-EXCELLENT-MACZUGA-07L-40.jpg;DĘBOWA POLSKA EXCELLENT MACZUGA 0,7L 40%;Nowości;229,00;229,00;22
6;img/images/CASAJUANA-RESERVA-XO-BRANDY-07L-40.jpg;CASAJUANA RESERVA XO BRANDY 0,7L 40%;Nowości;199,00;199,00;23
7;img/images/ANNO-DOMINI-DIAMANTE-D.O.C.-BIO-ROSE-PROSECCO-075L-11.jpg;ANNO DOMINI DIAMANTE D.O.C. BIO ROSE PROSECCO 0,75L 11%;Nowości;76,99;76,99;15
8;img/images/ANNO-DOMINI-DIAMANTE-D.O.C.-BIO-EXTRA-DRY-PROSECCO-075L-11.jpg;ANNO DOMINI DIAMANTE D.O.C. BIO EXTRA DRY PROSECCO 0,75L 11%;Nowości;76,99;76,99;14
9;img/images/CIROC-APPLE-VODKA-07L-375.jpg;CIROC APPLE VODKA 0,7L 37,5%;Nowości;169,00;169,00;28
10;img/images/KRAKEN-BLACK-SPICED-ROAST-COFFEE-RUM-07L-40.jpg;KRAKEN BLACK SPICED ROAST COFFEE RUM 0,7L 40%;Nowości;139,00;139,00;14
