Product ID;Obraz;Nazwa;Kategoria;Cena (netto);Cena (brutto);Ilość;Waga
1;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ABERFELDY-25YO-125TH-ANNIVERSARY-EDITION-WHISKY-07L-46-BIG.jpg;ABERFELDY 25YO 125TH ANNIVERSARY EDITION WHISKY 0,7L 46%;Nowości;3199,00;3199,00;7;1,2
2;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/DĘBOWA-POLSKA-GOLDEN-SOWA-07L-40-BIG.jpg;DĘBOWA POLSKA GOLDEN SOWA 0,7L 40%;Nowości;64,99;64,99;2;200
