Product ID;Obraz;Nazwa;Kategoria;Cena (netto);Cena (brutto);Ilość
1;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ABERFELDY-25YO-125TH-ANNIVERSARY-EDITION-WHISKY-07L-46-BIG.jpg;ABERFELDY 25YO 125TH ANNIVERSARY EDITION WHISKY 0,7L 46%;Nowości;3 199,00;3 199,00;24
2;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/DĘBOWA-POLSKA-GOLDEN-SOWA-07L-40-BIG.jpg;DĘBOWA POLSKA GOLDEN SOWA 0,7L 40%;Nowości;64,99;64,99;10
3;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/DĘBOWA-POLSKA-EXCELLENT-GRZYBEK-CAŁKOWITY-07L-40-BIG.jpg;DĘBOWA POLSKA EXCELLENT GRZYBEK CAŁKOWITY 0,7L 40%;Nowości;199,00;199,00;14
4;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/CZĘSTOCHÓWKA-MALINA-Z-CHILLI-LIKIER-05L-32-BIG.jpg;CZĘSTOCHÓWKA MALINA Z CHILLI LIKIER 0,5L 32%;Nowości;56,99;56,99;18
5;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/DĘBOWA-POLSKA-EXCELLENT-MACZUGA-07L-40-BIG.jpg;DĘBOWA POLSKA EXCELLENT MACZUGA 0,7L 40%;Nowości;229,00;229,00;13
6;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/CASAJUANA-RESERVA-XO-BRANDY-07L-40-BIG.jpg;CASAJUANA RESERVA XO BRANDY 0,7L 40%;Nowości;199,00;199,00;10
7;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ANNO-DOMINI-DIAMANTE-D.O.C.-BIO-ROSE-PROSECCO-075L-11-BIG.jpg;ANNO DOMINI DIAMANTE D.O.C. BIO ROSE PROSECCO 0,75L 11%;Nowości;76,99;76,99;29
8;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ANNO-DOMINI-DIAMANTE-D.O.C.-BIO-EXTRA-DRY-PROSECCO-075L-11-BIG.jpg;ANNO DOMINI DIAMANTE D.O.C. BIO EXTRA DRY PROSECCO 0,75L 11%;Nowości;76,99;76,99;10
9;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/CIROC-APPLE-VODKA-07L-375-BIG.jpg;CIROC APPLE VODKA 0,7L 37,5%;Nowości;169,00;169,00;18
10;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/KRAKEN-BLACK-SPICED-ROAST-COFFEE-RUM-07L-40-BIG.jpg;KRAKEN BLACK SPICED ROAST COFFEE RUM 0,7L 40%;Nowości;139,00;139,00;21
11;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/MARIETA-MENCIA-ROSE-075L-BIG.jpg;MARIETA MENCIA ROSE 0,75L;Nowości;65,99;65,99;27
12;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/CANEROCK-JAMAICA-RUM-07L-40-BIG.jpg;CANEROCK JAMAICA RUM 0,7L 40%;Nowości;195,00;195,00;25
13;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ANGELS-ENVY-PORT-FINISH-BOURBON-07L-433-BIG.jpg;ANGEL'S ENVY PORT FINISH BOURBON 0,7L 43,3%;Bourbon;325,00;325,00;18
14;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/BAKERS-7YO-BOURBON-07L-535-BIG.jpg;BAKER'S 7YO BOURBON 0,7L 53,5%;Bourbon;345,00;345,00;15
15;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/BASIL-HAYDENS-8YO-BOURBON--07L-40-BIG.jpg;BASIL HAYDEN'S 8YO BOURBON  0,7L 40%;Bourbon;275,00;275,00;24
16;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/BENCHMARK-OLD-NO.8-BRAND-BOURBON-07L-40-BIG.jpg;BENCHMARK OLD NO.8 BRAND BOURBON 0,7L 40%;Bourbon;110,00;110,00;27
17;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/BUFFALO-TRACE-BOURBON-07L-40-BIG.jpg;BUFFALO TRACE BOURBON 0,7L 40%;Bourbon;129,00;129,00;26
18;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/BULLEIT-10YO-BOURBON-07L-456-BIG.jpg;BULLEIT 10YO BOURBON 0,7L 45,6%;Bourbon;185,00;185,00;14
19;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/BULLEIT-BOURBON-07L-45-BIG.jpg;BULLEIT BOURBON 0,7L 45%;Bourbon;119,00;119,00;17
20;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/BULLEIT-RYE-BOURBON-07L-45-BIG.jpg;BULLEIT RYE BOURBON 0,7L 45%;Bourbon;145,00;145,00;30
21;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/EAGLE-RARE-10YO-SINGLE-BARREL-BOURBON-07L-45-BIG.jpg;EAGLE RARE 10YO SINGLE BARREL BOURBON 0,7L 45%;Bourbon;280,00;280,00;17
22;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/EVAN-WILLIAMS-4YO-BOURBON-07L-50-BIG.jpg;EVAN WILLIAMS 4YO BOURBON 0,7L 50%;Bourbon;130,00;130,00;18
23;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/FOUR-ROSES--BOURBON--07L-40-BIG.jpg;FOUR ROSES  BOURBON  0,7L 40%;Bourbon;110,00;110,00;16
24;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/FOUR-ROSES-SMALL-BATCH-BOURBON-07L-45-BIG.jpg;FOUR ROSES SMALL BATCH BOURBON 0,7L 45%;Bourbon;195,00;195,00;27
25;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ABSINTH-MR.-JEKYLL-ABSYNT-07L-55-W-SKRZYNCE-DREWNIANEJ-BIG.jpg;ABSINTH MR. JEKYLL ABSYNT 0,7L 55% W SKRZYNCE DREWNIANEJ;Alkohol na prezent;155,00;155,00;23
26;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ABSINTHE-LE-DIABLE-BLEU-ABSYNT-07L-80-W-SKRZYNCE-DREWNIANEJ-BIG.jpg;ABSINTHE LE DIABLE BLEU ABSYNT 0,7L 80% W SKRZYNCE DREWNIANEJ;Alkohol na prezent;225,00;225,00;26
27;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ABSOLUT-BLUE-VODKA-07L-40-W-SKRZYNCE-DREWNIANEJ-BIG.jpg;ABSOLUT BLUE VODKA 0,7L 40% W SKRZYNCE DREWNIANEJ;Alkohol na prezent;115,00;115,00;29
28;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ABSOLUT-BLUE-VODKA-07L-40-W-SKRZYNCE-DREWNIANEJ-+-6-KIELISZKÓW-BIG.jpg;ABSOLUT BLUE VODKA 0,7L 40% W SKRZYNCE DREWNIANEJ + 6 KIELISZKÓW;Alkohol na prezent;165,00;165,00;25
29;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ABSOLUT-BLUE-VODKA-07L-40-W-SKRZYNCE-DREWNIANEJ-+-CZEKOLADKI-BIG.jpg;ABSOLUT BLUE VODKA 0,7L 40% W SKRZYNCE DREWNIANEJ + CZEKOLADKI;Alkohol na prezent;145,00;145,00;19
30;https://raw.githubusercontent.com/WallyS02/Presta-Forfiter/master/scrapped_data/images/ABSOLUT-LIME-VODKA-07L-40-W-SKRZYNCE-DREWNIANEJ-+-6-KIELISZKÓW-BIG.jpg;ABSOLUT LIME VODKA 0,7L 40% W SKRZYNCE DREWNIANEJ + 6 KIELISZKÓW;Alkohol na prezent;180,00;180,00;19
